model_year,brand,type,miles_per_gallon,premium_version,msrp,collection_car
2017,Ford,SUV,20.0,0,31500.0,0
2021,Ford,Pickup,20.0,1,56300.0,0
2015,Lincoln,Sedan,29.0,0,36000.0,0
2005,Toyota,Pickup,15.0,0,25000.0,0
2021,Jeep,SUV,21.0,1,55000.0,0
2017,Land,SUV,18.0,1,111000.0,0
2018,Mercedes-Benz,Sedan,18.0,1,96000.0,0
2012,Mercedes-Benz,Sedan,20.0,0,55900.0,0
2022,Mercedes-Benz,Coupe,20.0,1,100000.0,0
2005,Toyota,Coupe,21.0,1,25900.0,0
2018,Ford,Pickup,20.0,1,42000.0,0
2008,BMW,Sedan,22.0,1,40000.0,0
2023,Mercedes-Benz,Sedan,20.0,1,100000.0,0
2015,Ford,Minivan,24.0,0,24490.0,0
2018,INFINITI,SUV,14.0,0,64900.0,0
2021,Jeep,SUV,22.0,1,43690.0,0
2022,Jeep,Pickup,22.0,1,50775.0,0
2008,RAM,Pickup,15.0,1,30500.0,0
2003,Lexus,SUV,20.0,0,35000.0,0
2018,BMW,Sedan,24.0,1,52000.0,0
2017,Tesla,Sedan,90.0,1,75000.0,0
2018,Lamborghini,Coupe,10.0,1,421321.0,1
2015,BMW,Sedan,17.0,1,64900.0,1
2020,BMW,Sedan,20.0,1,100000.0,1
2021,Chevrolet,Coupe,19.0,1,42900.0,0
2014,Hyundai,Hatchback,30.0,0,18400.0,0
2011,Porsche,SUV,18.0,1,60000.0,0
2007,Ford,Van,0.0,0,0.0,0
2022,Cadillac,SUV,17.0,1,113595.0,0
2017,Audi,Coupe,25.0,1,42500.0,0
2022,Tesla,Sedan,120.0,1,79990.0,0
2023,Toyota,Coupe,22.0,1,60500.0,0
2016,Audi,Sedan,24.0,1,42100.0,0
2009,GMC,Pickup,14.0,0,30000.0,0
2006,Chevrolet,Coupe,19.0,1,65000.0,1
2018,Jeep,SUV,21.0,1,41190.0,0
2015,Lexus,Sedan,21.0,0,39900.0,0
2022,Mercedes-Benz,SUV,19.0,1,73300.0,0
2014,Mercedes-Benz,Sedan,19.0,1,106600.0,0
2019,Land,SUV,15.0,1,90000.0,0
2011,Audi,Sedan,24.0,1,32900.0,0
2007,MINI,Hatchback,30.0,1,23000.0,0
2019,Land,SUV,24.0,1,48700.0,0
2015,Audi,Sedan,22.0,1,50750.0,0
2019,Audi,SUV,21.0,1,55600.0,0
2008,Acura,Sedan,20.0,1,35000.0,0
2004,Toyota,Coupe,24.0,0,27000.0,0
2006,Cadillac,Sedan,15.0,0,47000.0,0
2010,Chevrolet,Coupe,19.0,0,24000.0,0
2004,Buick,Sedan,18.0,1,40000.0,0
2017,Ford,SUV,18.0,0,50000.0,0
2022,Rivian,SUV,74.0,1,74900.0,0
2019,Ford,Pickup,20.0,0,43000.0,0
2005,Chevrolet,Coupe,19.0,1,49995.0,1
2023,Toyota,SUV,20.0,1,74900.0,0
2019,Chevrolet,Pickup,20.0,1,60000.0,0
2019,Audi,SUV,17.0,1,74900.0,0
2012,Nissan,SUV,27.0,1,23900.0,0
2009,Mercedes-Benz,Convertible,18.0,1,139500.0,1
2016,Audi,Sedan,26.0,0,35000.0,0
2008,Chevrolet,Convertible,18.0,0,50000.0,1
2019,BMW,Sedan,26.0,1,52000.0,0
2016,Land,SUV,14.0,1,83700.0,0
2019,Nissan,SUV,14.0,0,60400.0,0
2008,Dodge,Pickup,16.0,0,22000.0,0
2007,Mercedes-Benz,Sedan,20.0,0,37000.0,0
2023,BMW,Coupe,16.0,1,74800.0,0
2021,Audi,SUV,21.0,1,64400.0,0
2017,Land,SUV,22.0,1,78500.0,0
2023,Chevrolet,Coupe,15.0,1,80000.0,1
2020,Tesla,SUV,15.0,1,59990.0,0
2018,BMW,Coupe,22.0,1,96000.0,0
2008,Saturn,Convertible,20.0,0,27000.0,0
2017,Ford,Pickup,20.0,0,35000.0,0
2011,Lexus,SUV,30.0,0,45800.0,0
2019,Ford,Coupe,15.0,1,45000.0,0
2021,Jeep,Pickup,22.0,0,44000.0,0
2017,Land,SUV,22.0,1,69900.0,0
2017,INFINITI,SUV,20.0,0,44000.0,0
2015,Chevrolet,Coupe,16.0,1,38900.0,0
2022,Kia,SUV,24.0,0,30590.0,0
2013,RAM,Pickup,14.0,0,30000.0,0
2011,Lexus,Sedan,20.0,0,32950.0,0
2019,Mercedes-Benz,Sedan,27.0,1,41000.0,0
2016,Mercedes-Benz,SUV,13.0,1,148900.0,1
2012,MINI,Hatchback,28.0,0,23000.0,0
2018,Chevrolet,Pickup,18.0,1,43000.0,0
2019,Lincoln,SUV,24.0,1,40845.0,0
2011,Cadillac,Sedan,20.0,0,35000.0,0
2020,Ford,SUV,24.0,0,35500.0,0
2007,Dodge,Pickup,16.0,0,22995.0,0
2008,Land,SUV,14.0,1,83500.0,0
2018,Chevrolet,SUV,20.0,0,57000.0,0
2008,MINI,Hatchback,28.0,0,20000.0,0
2019,Audi,Sedan,25.0,1,60000.0,0
2015,Chevrolet,SUV,18.0,0,51800.0,0
2018,Land,SUV,20.0,1,87000.0,0
2017,Land,SUV,18.0,1,90000.0,0
2012,Audi,Sedan,20.0,1,50000.0,0
2014,Porsche,Sedan,20.0,1,100000.0,0
2016,Cadillac,SUV,20.0,1,60000.0,0
2007,Lexus,SUV,15.0,0,50000.0,0
2008,Honda,SUV,20.0,0,23900.0,0
2009,BMW,Coupe,14.0,1,62000.0,1
2005,Chevrolet,Coupe,18.0,0,30000.0,1
2015,Toyota,Pickup,15.0,0,33000.0,0
2020,Ford,SUV,25.0,0,33500.0,0
2017,Lexus,SUV,20.0,0,42950.0,0
2012,Land,SUV,14.0,1,58900.0,0
2019,Toyota,SUV,20.0,1,45000.0,0
2009,Chevrolet,Pickup,14.0,0,35300.0,0
2020,Porsche,SUV,19.0,1,63500.0,0
2016,Land,SUV,16.0,1,110000.0,0
2021,Tesla,SUV,131.0,1,53990.0,0
2015,Acura,Sedan,21.0,1,43000.0,0
2011,Lexus,SUV,22.0,0,39400.0,0
2023,Land,SUV,22.0,1,75000.0,0
2008,Cadillac,SUV,12.0,0,65490.0,0
2023,Tesla,SUV,110.0,1,66990.0,0
2013,Hyundai,Sedan,24.0,0,35000.0,0
2017,Cadillac,SUV,17.0,1,100000.0,0
2016,Land,SUV,14.0,1,180000.0,0
2004,Land,SUV,15.0,0,40000.0,0
2019,Kia,SUV,30.0,1,45000.0,0
2022,Audi,SUV,21.0,1,62900.0,0
2012,INFINITI,Sedan,20.0,0,35100.0,0
2020,Land,SUV,24.0,1,59900.0,0
2021,Toyota,SUV,16.0,0,36740.0,0
2021,Ford,SUV,23.0,1,65000.0,0
2017,Nissan,SUV,19.0,1,65000.0,0
2011,Ford,SUV,14.0,1,54670.0,0
2023,Lexus,SUV,15.0,1,60000.0,0
2005,Hyundai,Coupe,18.0,0,29500.0,0
2007,Mercedes-Benz,Convertible,15.0,1,137600.0,0
2012,Cadillac,Sedan,20.0,1,43000.0,0
2021,Ford,Pickup,20.0,0,40000.0,0
2018,Toyota,Pickup,15.0,0,37000.0,0
2004,Toyota,SUV,16.0,0,25000.0,0
2014,Mercedes-Benz,Sedan,21.0,1,52800.0,0
2020,Hyundai,SUV,25.0,0,28500.0,0
2021,Ford,Coupe,15.0,1,50000.0,1
2018,Porsche,SUV,18.0,1,80100.0,0
2016,INFINITI,SUV,14.0,1,65750.0,0
2019,Porsche,SUV,22.0,1,61000.0,0
2014,BMW,Hatchback,97.0,0,45700.0,0
2008,Pontiac,Convertible,19.0,1,30745.0,0
2017,BMW,Coupe,21.0,1,67800.0,0
2012,Land,SUV,12.0,1,61900.0,0
2017,Lincoln,Sedan,25.0,1,40000.0,0
2018,Audi,SUV,19.0,1,55000.0,0
2022,Mercedes-Benz,SUV,20.0,0,54300.0,0
2003,Hummer,SUV,10.0,0,50000.0,0
2017,Chevrolet,Pickup,18.0,0,36000.0,0
2016,Jeep,SUV,17.0,0,24000.0,0
2021,Cadillac,SUV,17.0,1,94995.0,0
2021,Tesla,SUV,90.0,1,89990.0,0
2007,Toyota,Coupe,21.0,0,28920.0,0
2011,BMW,Sedan,20.0,0,35000.0,0
2018,Audi,Coupe,26.0,1,50800.0,0
2014,BMW,Coupe,22.0,1,44000.0,0
2022,Ford,SUV,20.0,1,60000.0,0
2014,Nissan,SUV,20.0,0,29000.0,0
2020,BMW,Sedan,25.0,0,55900.0,0
2021,Chevrolet,Pickup,17.0,0,48700.0,0
2019,Audi,Sedan,23.0,1,83500.0,0
2015,BMW,Coupe,26.0,1,50000.0,0
2023,Lamborghini,Coupe,10.0,1,517000.0,1
2019,Ford,SUV,20.0,1,73995.0,0
2010,GMC,SUV,23.0,0,29000.0,0
2021,Ford,Pickup,19.0,1,49000.0,0
2021,Porsche,Coupe,15.0,1,210000.0,1
2021,Alfa,Sedan,24.0,0,41900.0,0
2015,INFINITI,SUV,18.0,0,45500.0,0
2021,INFINITI,SUV,14.0,1,67900.0,0
2002,Dodge,Pickup,10.0,1,50000.0,1
2019,Buick,SUV,18.0,1,58000.0,0
2013,BMW,Sedan,18.0,1,81800.0,0
1999,Toyota,Coupe,20.0,1,24000.0,0
2017,Acura,Sedan,25.0,1,30450.0,0
2015,RAM,Pickup,20.0,0,39700.0,0
2012,Toyota,SUV,20.0,1,40000.0,0
2020,Ford,SUV,18.0,1,47000.0,0
2011,Land,SUV,12.0,1,55000.0,0
2016,Jeep,SUV,21.0,0,41400.0,0
2023,Ford,SUV,20.0,1,43000.0,0
2019,Ford,Pickup,20.0,1,63700.0,0
2020,INFINITI,SUV,19.0,1,65900.0,0
2019,Mercedes-Benz,Sedan,20.0,1,68300.0,1
2010,Toyota,Sedan,33.0,1,30000.0,0
2021,Jeep,SUV,22.0,1,44300.0,0
2019,Audi,Convertible,14.0,1,208000.0,1
2016,Audi,Sedan,24.0,0,83000.0,0
2015,Toyota,SUV,20.0,1,44990.0,0
2018,Porsche,Coupe,20.0,1,80000.0,0
2018,Land,SUV,21.0,1,61900.0,0
2016,Mercedes-Benz,Sedan,21.0,0,53900.0,0
2023,Mercedes-Benz,Sedan,21.0,1,75200.0,0
2019,Mercedes-Benz,SUV,18.0,1,115000.0,0
2008,Land,SUV,12.0,1,102200.0,1
2023,Lexus,Coupe,19.0,1,94300.0,0
2018,Chevrolet,Pickup,15.0,1,60000.0,0
2012,BMW,Sedan,20.0,0,40000.0,0
2022,Porsche,Coupe,15.0,1,218000.0,1
2010,GMC,Pickup,18.0,1,35000.0,0
2011,Ford,Minivan,12.0,0,35000.0,0
2018,BMW,Sedan,18.0,1,102600.0,0
2014,Subaru,Coupe,22.0,1,29000.0,0
2007,Acura,SUV,20.0,0,32990.0,0
2023,Chevrolet,Coupe,20.0,1,68000.0,1
2002,Ford,Convertible,20.0,0,37000.0,1
2008,BMW,Convertible,15.0,1,85000.0,0
2019,Mercedes-Benz,Sedan,24.0,1,41200.0,0
2005,Acura,SUV,20.0,1,42000.0,0
2005,Chrysler,Coupe,20.0,1,33990.0,0
2021,Lexus,SUV,18.0,0,86000.0,0
2010,MINI,Hatchback,34.0,1,24000.0,0
2017,Tesla,Sedan,99.0,1,135000.0,1
2021,Mazda,SUV,22.0,0,40705.0,0
2016,Mercedes-Benz,Sedan,24.0,1,60000.0,0
2018,Mercedes-Benz,Sedan,24.0,1,60000.0,0
2005,Porsche,Convertible,21.0,0,45000.0,0
2020,Mercedes-Benz,Coupe,18.0,1,157000.0,1
2020,INFINITI,SUV,27.0,1,46000.0,0
2022,Jeep,SUV,22.0,0,48740.0,0
2008,Mercedes-Benz,Convertible,15.0,1,108000.0,1
2018,Mercedes-Benz,Coupe,18.0,1,68800.0,0
2018,Audi,Sedan,27.0,1,45000.0,0
2014,Mercedes-Benz,Sedan,24.0,1,42000.0,0
2020,Mercedes-Benz,Sedan,18.0,1,100000.0,0
2023,Toyota,SUV,94.0,1,43500.0,0
2021,Rivian,SUV,70.0,1,74900.0,0
2017,Kia,Sedan,29.0,0,22700.0,0
2009,Nissan,SUV,15.0,0,29490.0,0
2020,Chevrolet,SUV,15.0,1,71900.0,0
2009,Ford,Pickup,15.0,0,32000.0,0
2003,Lamborghini,Coupe,15.0,0,198000.0,1
2017,Lexus,SUV,15.0,1,53200.0,0
2019,Mercedes-Benz,SUV,13.0,1,130900.0,1
2021,Porsche,SUV,18.0,1,83700.0,0
2021,Lexus,SUV,15.0,0,53000.0,0
2019,Toyota,SUV,17.0,1,46900.0,0
2019,Chevrolet,Convertible,19.0,1,65900.0,1
2021,Land,SUV,22.0,1,47000.0,0
2007,Mercury,Sedan,18.0,0,36000.0,1
2020,Jaguar,Coupe,18.0,1,61900.0,0
2020,Tesla,Sedan,100.0,1,99990.0,1
2021,RAM,Pickup,20.0,1,45000.0,0
2022,Dodge,SUV,20.0,0,39990.0,0
2018,Chevrolet,SUV,18.0,1,74000.0,0
2019,Chevrolet,Pickup,18.0,0,33500.0,0
2017,Volvo,Hatchback,25.0,1,28400.0,0
2018,Porsche,SUV,22.0,1,85000.0,0
2012,Acura,Sedan,24.0,0,29700.0,0
2021,Toyota,Pickup,13.0,0,38220.0,0
2022,Chevrolet,SUV,21.0,1,63500.0,0
2011,Hyundai,Coupe,19.0,1,31950.0,0
2015,Honda,Sedan,25.0,0,25000.0,0
2018,Cadillac,Sedan,20.0,1,45000.0,0
2016,Toyota,SUV,17.0,1,43605.0,0
2017,GMC,Pickup,16.0,1,61740.0,0
2006,Chevrolet,Coupe,20.0,0,25760.0,0
2021,Rolls-Royce,SUV,12.0,1,325000.0,1
2002,Jeep,SUV,17.0,0,24000.0,0
1999,Toyota,SUV,13.0,0,42900.0,0
2013,Ford,Coupe,19.0,1,26500.0,0
2018,Hyundai,Hatchback,25.0,0,18990.0,0
2005,GMC,Pickup,16.0,0,26000.0,0
2021,Mercedes-Benz,SUV,22.0,0,54900.0,0
1999,Mazda,Convertible,26.0,0,22500.0,0
2018,Land,SUV,20.0,1,82000.0,0
2022,Toyota,Pickup,20.0,0,26500.0,0
2016,Lexus,Coupe,20.0,0,42900.0,0
2023,Ford,Pickup,20.0,1,50000.0,0
2018,Porsche,Coupe,18.0,1,207000.0,1
2014,Acura,SUV,20.0,1,56000.0,0
2018,Ford,Van,15.0,0,35000.0,0
2015,Land,SUV,21.0,0,41000.0,0
2017,BMW,Sedan,26.0,1,42000.0,0
2011,Jaguar,Sedan,19.0,1,60000.0,0
2015,Kia,Sedan,40.0,0,26300.0,0
2021,Cadillac,SUV,17.0,1,130000.0,0
2021,Acura,Sedan,22.0,1,45900.0,0
2015,Chevrolet,SUV,16.0,1,67995.0,0
2019,Audi,SUV,21.0,1,73000.0,0
2016,BMW,Sedan,22.0,1,84000.0,0
2013,BMW,Sedan,20.0,1,85000.0,0
2005,Lexus,Sedan,25.0,0,35000.0,0
2016,Audi,Coupe,22.0,1,60000.0,0
2010,Land,SUV,14.0,1,50745.0,0
2009,Lexus,Sedan,19.0,1,79900.0,0
2015,Porsche,Convertible,21.0,1,89800.0,1
2018,Mercedes-Benz,Sedan,19.0,1,103000.0,0
2018,Lincoln,Sedan,20.0,1,42000.0,0
2018,Land,SUV,21.0,0,59900.0,0
2014,Mercedes-Benz,Sedan,26.0,0,32000.0,0
2011,Chevrolet,Pickup,16.0,0,33995.0,0
2023,Toyota,Coupe,22.0,1,33990.0,0
2007,Mercedes-Benz,SUV,16.0,0,60900.0,0
2005,Mercedes-Benz,Convertible,18.0,1,65000.0,0
2018,BMW,Sedan,23.0,1,103000.0,1
2013,RAM,Pickup,16.0,1,50000.0,0
2014,Mercedes-Benz,SUV,20.0,1,67800.0,0
2010,Dodge,SUV,14.0,1,32995.0,0
2014,Porsche,Sedan,20.0,0,80000.0,0
2018,Lexus,SUV,15.0,0,51800.0,0
2015,Porsche,SUV,20.0,1,60000.0,0
2003,Land,SUV,14.0,1,49000.0,0
2019,BMW,Sedan,18.0,1,94000.0,0
2003,Jeep,SUV,17.0,0,27950.0,0
2020,Mercedes-Benz,SUV,17.0,1,113950.0,0
2015,Land,SUV,18.0,1,60800.0,0
2014,RAM,Pickup,21.0,0,40745.0,0
2021,Toyota,SUV,21.0,1,40500.0,0
2007,Chevrolet,SUV,24.0,0,25000.0,0
2013,Subaru,Coupe,22.0,1,29995.0,0
2014,GMC,SUV,22.0,1,29085.0,0
2003,Mitsubishi,Coupe,20.0,0,23000.0,0
2022,Mercedes-Benz,Sedan,26.0,1,43600.0,0
2020,Toyota,SUV,13.0,1,61200.0,0
2006,Porsche,Convertible,19.0,1,81100.0,1
2022,GMC,SUV,20.0,1,52000.0,0
2021,Ford,Pickup,22.0,0,45000.0,0
2007,Land,SUV,14.0,1,57000.0,0
2020,BMW,SUV,17.0,1,82500.0,0
2016,Alfa,Sedan,28.0,0,39900.0,0
2016,Nissan,Coupe,16.0,1,101700.0,0
2018,Kia,Sedan,28.0,1,29000.0,0
2020,RAM,Pickup,20.0,1,40000.0,0
2011,Mercedes-Benz,Sedan,18.0,0,56500.0,0
2014,Volkswagen,Hatchback,26.0,0,35900.0,0
2010,Lexus,SUV,20.0,0,38500.0,0
2011,Mercedes-Benz,Van,20.0,0,35000.0,0
2018,Mercedes-Benz,SUV,15.0,1,110000.0,0
2013,McLaren,Coupe,24.0,1,192000.0,0
2010,Subaru,Coupe,25.0,1,29995.0,0
2016,Ford,Coupe,22.0,0,25950.0,0
2010,Lexus,Convertible,20.0,0,39000.0,0
2020,Hyundai,SUV,21.0,0,39500.0,0
2018,Chevrolet,Coupe,20.0,1,42000.0,0
2019,Toyota,Coupe,24.0,0,28500.0,0
2009,Jaguar,Convertible,18.0,0,81000.0,0
2017,BMW,Sedan,17.0,1,65000.0,1
2017,Ford,Minivan,15.0,0,30000.0,0
2018,Land,SUV,15.0,0,45000.0,1
2023,BMW,Coupe,16.0,1,72000.0,0
2016,Mercedes-Benz,Sedan,20.0,1,100000.0,0
2018,Ford,Minivan,15.0,0,35000.0,0
2004,Chevrolet,Coupe,18.0,1,49995.0,1
2011,Mercedes-Benz,Coupe,16.0,0,65000.0,0
2012,Ford,Sedan,24.0,0,25000.0,0
2018,Maserati,Sedan,15.0,1,80000.0,0
2014,Audi,Sedan,24.0,1,43000.0,0
2017,Ford,Coupe,18.0,0,25000.0,0
2014,INFINITI,Sedan,20.0,0,51500.0,0
2017,Volkswagen,Hatchback,36.0,0,20000.0,0
2002,Chevrolet,Coupe,18.0,1,23000.0,0
2019,Jeep,SUV,21.0,1,44845.0,0
2015,Lincoln,SUV,21.0,1,40000.0,0
2022,Rivian,SUV,75.0,1,74900.0,0
2022,Tesla,SUV,100.0,1,94990.0,0
2018,Mercedes-Benz,Sedan,24.0,1,107000.0,1
2020,Mercedes-Benz,Sedan,20.0,1,99500.0,0
2018,Lexus,SUV,20.0,1,47000.0,0
2013,BMW,Sedan,24.0,1,61000.0,0
2014,Toyota,SUV,25.0,0,24000.0,0
2019,Chevrolet,SUV,18.0,1,68000.0,0
2001,Ford,SUV,12.0,1,52995.0,0
2017,Lexus,Sedan,19.0,1,75000.0,0
2016,RAM,Pickup,16.0,0,44000.0,0
2014,Porsche,Sedan,18.0,1,149600.0,1
2022,Chevrolet,Coupe,22.0,1,40000.0,1
2002,Lexus,SUV,19.0,0,35000.0,0
2020,Nissan,Sedan,20.0,1,42000.0,0
2022,RAM,Pickup,15.0,0,45000.0,0
2018,Chevrolet,Coupe,21.0,1,65700.0,1
2023,Kia,SUV,20.0,0,35000.0,0
2017,Subaru,Sedan,20.0,1,36000.0,0
2015,Audi,Sedan,28.0,1,69400.0,0
2017,Ford,Pickup,18.0,0,35000.0,0
2019,Genesis,Sedan,19.0,1,75000.0,0
2003,Porsche,Coupe,19.0,1,78900.0,1
2020,Toyota,SUV,21.0,1,49000.0,0
2022,Audi,Sedan,18.0,1,114000.0,0
2004,Mercedes-Benz,Convertible,20.0,1,102000.0,1
2004,Mercedes-Benz,Van,20.0,0,30000.0,0
2008,Mercedes-Benz,Sedan,20.0,0,53300.0,0
2023,Porsche,Coupe,16.0,1,223800.0,1
2021,Chevrolet,SUV,20.0,1,60000.0,0
2008,Toyota,Sedan,28.0,0,18000.0,0
2012,Nissan,Pickup,16.0,0,25640.0,0
2022,Lexus,SUV,19.0,1,53000.0,0
2020,Chevrolet,Pickup,20.0,0,53400.0,0
2014,Mercedes-Benz,Sedan,24.0,1,70000.0,0
2015,BMW,Coupe,15.0,1,113000.0,1
2021,Mercedes-Benz,Sedan,19.0,1,70000.0,0
